Business Particle Index,Revenue Model Index,Anniversary,Node Access,Deployment Type,Operator Conduct System,Record Count
stacystaples.com,Sponsored,"Sep 5, 2020",On,Active,L1 Class,1
STAPLESIUM.COM,Supplemented,"Jun 10, 2010",Off,Active,L2 Class,1
ambiencesuites.com,Sponsored,"May 1, 2021",On,Assembly,L3 Class,1
bankoffintech.com,Supplemented,"Jan 6, 2021",Off,Assembly,L6 Class,1
BEAMOLOGY.COM,Sponsored,"Apr 15, 2013",On,Assembly,L7 Class,1
birthgeneration.com,Supplemented,"Nov 5, 2021",Off,Assembly,L1 Class,1
intrasession.com,Sponsored,"Apr 17, 2023",Off,Assembly,L6 Class,1
linealfoundation.com,Supplemented,"Jun 3, 2023",Off,Assembly,L3 Class,1
postulateassembly.com,Sponsored,"Mar 2, 2023",Off,Assembly,L7 Class,1
seminarinvestments.com,Supplemented,"Nov 3, 2020",Off,Assembly,L4 Class,1
snippetuniversity.com,Sponsored,"May 7, 2021",Off,Assembly,L3 Class,1
tithesinvestments.com,Supplemented,"Apr 5, 2023",Off,Assembly,L3 Class,1
automaticbanknote.com,Sponsored,"Jun 5, 2022",Off,Executions,L7 Class,1
BEAMPLAN.COM,Supplemented,"May 2, 2013",Off,Executions,L4 Class,1
breakpeace.org,Sponsored,"May 2, 2017",Off,Executions,L2 Class,1
electronicbanknote.com,Supplemented,"May 4, 2022",Off,Executions,L7 Class,1
infinityyeild.com,Sponsored,"Feb 13, 2023",Off,Executions,L6 Class,1
orderfiche.com,Supplemented,"Sep 25, 2020",Off,Executions,L5 Class,1
threeminutecontract.com,Sponsored,"Jun 5, 2022",Off,Executions,L1 Class,1
bandwidthanonymous.com,Supplemented,"Oct 22, 2021",Off,Licenses,L1 Class,1
bandwidthshare.com,Sponsored,"Oct 22, 2021",Off,Licenses,L1 Class,1
bandwidthunderground.com,Supplemented,"Oct 22, 2021",Off,Licenses,L1 Class,1
conductsystems.com,Sponsored,"Oct 21, 2021",Off,Licenses,L7 Class,1
endmember.com,Supplemented,"Aug 2, 2023",Off,Licenses,L7 Class,1
patentfiche.com,Sponsored,"Sep 30, 2022",Off,Licenses,L5 Class,1
personalbusinessmachines.com,Supplemented,"Oct 18, 2021",Off,Licenses,L3 Class,1
preparationpatents.com,Sponsored,"Oct 18, 2021",Off,Licenses,L5 Class,1
preparationsciences.com,Supplemented,"Sep 15, 2021",Off,Licenses,L5 Class,1
renderbusinessmachines.com,Sponsored,"Jun 5, 2022",Off,Licenses,L1 Class,1
revenuedrop.com,Supplemented,"Sep 13, 2020",On,Licenses,L2 Class,1
SEMICOMS.COM,Sponsored,"Dec 12, 2009",Off,Licenses,L2 Class,1
signalstudy.com,Supplemented,"Apr 5, 2023",Off,Licenses,L2 Class,1
smallcappractice.com,Sponsored,"Jun 5, 2021",Off,Licenses,L1 Class,1
acceleratorsciences.com,Supplemented,"Sep 4, 2020",Off,Packages,L4 Class,1
agaseous.com,Sponsored,"Nov 3, 2016",On,Packages,L1 Class,1
algebratrade.com,Supplemented,"Jan 30, 2021",Off,Packages,L4 Class,1
amyclientele.com,Sponsored,"Apr 5, 2023",Off,Packages,L4 Class,1
boursesport.com,Supplemented,"Oct 21, 2021",Off,Packages,L3 Class,1
dealroomstudio.com,Sponsored,"Feb 6, 2021",Off,Packages,L3 Class,1
demonstock.com,Supplemented,"May 3, 2020",Off,Packages,L1 Class,1
developertraderoom.com,Sponsored,"Sep 4, 2020",Off,Packages,L3 Class,1
executiveschematic.com,Supplemented,"May 8, 2023",Off,Packages,L7 Class,1
liabilityshare.com,Sponsored,"Nov 4, 2020",Off,Packages,L2 Class,1
