Watch List Name
Investments to Watch

View Summary - Beamology Blue Sheet


Symbol,Change $,Change %,Price When Added,Date Added,Total Gain $,Total Gain %,Value $,Annual Dividend,Ask,Day's Gain $,Day's Gain %,Dividend,Dividend Pay Date,Dividend Yield,Ex-Dividend Date,Expiration Date,
WOMN,-0.02,-0.10,22.80,06/30/2020,58.01,2.54,2337.75,0.23,0.00,-2.25,-.10,.0572,06/30/2020,.9778,06/25/2020,--,
ADAVX,0.04,1.07,3.70,06/30/2020,8.00,2.16,378.00,0.00,4.01,4.00,1.07,.0000,--,.0000,--,--,
GDDY,-0.23,-0.32,72.59,06/30/2020,-194.00,-2.67,7065.00,0.00,70.94,-23.00,-.32,.0000,--,.0000,--,--,
K,-0.71,-1.07,63.86,06/29/2020,204.00,3.19,6590.00,2.28,66.00,-71.00,-1.07,.5700,06/15/2020,3.4229,05/29/2020,--,
ARKK,0.36,0.45,68.97,06/27/2020,1211.00,17.56,8108.00,0.00,81.24,36.00,.45,.0000,12/31/2019,.0000,12/27/2017,--,
SBIO,-0.51,-1.18,41.79,06/27/2020,59.50,1.42,4238.50,0.02,46.61,-50.50,-1.18,.0158,12/27/2019,.0370,12/19/2019,--,
CNCR,-0.25,-0.90,26.68,06/27/2020,83.04,3.11,2751.04,0.00,29.00,-24.96,-.90,.0000,01/02/2018,.0000,12/28/2018,--,
IEIH,-0.22,-0.70,29.45,06/27/2020,109.73,3.73,3054.40,0.25,0.00,-21.60,-.70,.0631,06/19/2020,1.3644,06/15/2020,--,
IEME,-0.14,-0.55,23.89,06/27/2020,102.01,4.27,2491.01,0.10,0.00,-13.85,-.55,.0255,06/19/2020,.6390,06/15/2020,--,
SMDV,-1.20,-2.58,45.95,06/27/2020,-70.00,-1.52,4525.00,1.17,0.00,-119.83,-2.58,.2933,07/01/2020,3.4140,06/24/2020,--,
SCHD,-1.10,-2.14,50.03,06/27/2020,34.00,.68,5037.00,1.77,50.67,-110.00,-2.14,.4420,06/29/2020,3.5656,06/24/2020,--,
DTD,-1.31,-1.44,87.52,06/27/2020,177.14,2.02,8929.14,3.06,96.03,-130.86,-1.44,.2550,06/26/2020,3.2893,06/23/2020,--,
DIVO,-0.28,-0.97,27.52,06/27/2020,74.92,2.72,2826.97,1.54,32.10,-27.57,-.97,.1286,06/30/2020,6.1282,06/26/2020,--,
DGRO,-0.48,-1.27,36.57,06/27/2020,79.00,2.16,3736.00,1.00,37.44,-48.00,-1.27,.2488,06/19/2020,3.1931,06/15/2020,--,
VIG,-0.76,-0.64,114.51,06/27/2020,362.00,3.16,11813.00,2.40,118.32,-76.00,-.64,.6006,07/02/2020,1.8718,06/29/2020,--,
VGSH,0.01,0.02,62.19,06/27/2020,-3.00,-.05,6216.00,0.65,62.16,1.00,.02,.0538,07/07/2020,1.8208,07/01/2020,--,
TDIV,0.04,0.09,40.56,06/27/2020,193.56,4.77,4250.00,0.76,42.94,4.00,.09,.1909,06/30/2020,2.3066,06/25/2020,--,
Cash,,,,,,,.00,,,,,,,,,,
TOTAL,,,81857.90,,2488.91,3.04,84346.81,,,-674.42,-.79,,,,,,



Generated at 07/09/2020 05:02:23 PM ET

